Class Name,Class Type,Enrolled / Max (35),Time,Location,Shuttle Schedule,Day Of Week
Introduction to Psychology,Seminar,34/35,16:00-17:30,Arts Center Room 5,Every 15 min,Friday
Calculus I,Lecture,16/35,16:00-17:30,Main Hall A,Every 15 min,Monday
World History,Lab,23/35,12:00-13:30,Tech Center Room 210,Every 15 min,Thursday
Biology 101,Lecture,29/35,10:00-11:30,Science Building Room 101,Every 20 min,Monday
Introduction to Philosophy,Lab,25/35,08:00-09:30,Tech Center Room 210,Every 20 min,Tuesday
Computer Science Fundamentals,Workshop,34/35,16:00-17:30,Arts Center Room 5,Every 15 min,Friday
Macroeconomics,Seminar,25/35,08:00-09:30,Library Room B,Hourly,Friday
Chemistry Lab,Seminar,25/35,14:00-15:30,Arts Center Room 5,Every 20 min,Tuesday
Creative Writing,Lab,22/35,10:00-11:30,Science Building Room 101,Hourly,Tuesday
Environmental Science,Seminar,20/35,12:00-13:30,Main Hall A,Every 15 min,Friday
Philosophy 101,Seminar,19/35,14:00-15:30,Arts Center Room 5,Every 15 min,Friday
Environmental Science,Seminar,30/35,12:00-13:30,Tech Center Room 210,Every 15 min,Friday
Statistics,Lecture,27/35,11:00-12:30,Main Hall A,Every 30 min,Monday
Creative Writing,Seminar,20/35,11:00-12:30,Science Building Room 101,Every 30 min,Monday
Macroeconomics,Lab,12/35,12:00-13:30,Arts Center Room 5,Every 15 min,Thursday
Creative Writing,Seminar,21/35,13:00-14:30,Engineering Room B2,Every 20 min,Friday
Data Structures,Lab,19/35,10:00-11:30,Tech Center Room 210,Every 15 min,Tuesday
Introduction to Psychology,Lab,13/35,11:00-12:30,Engineering Room B2,Every 20 min,Wednesday
Data Structures,Lecture,31/35,12:00-13:30,Main Hall A,Every 20 min,Friday
Ethics and Society,Lecture,15/35,15:00-16:30,Engineering Room B2,Every 20 min,Wednesday
Macroeconomics,Workshop,22/35,08:00-09:30,Main Hall A,Every 15 min,Tuesday
Macroeconomics,Lab,35/35,11:00-12:30,Library Seminar Room,Every 20 min,Wednesday
Philosophy 101,Lecture,29/35,13:00-14:30,Business School Room 12,Every 30 min,Friday
Calculus I,Workshop,30/35,16:00-17:30,Library Seminar Room,Every 30 min,Wednesday
World History,Lecture,34/35,08:00-09:30,Library Seminar Room,Every 30 min,Tuesday
Music Theory,Lecture,30/35,15:00-16:30,Engineering Room B2,Every 20 min,Tuesday
World History,Lecture,22/35,15:00-16:30,Science Building Room 101,Every 20 min,Wednesday
Data Structures,Lab,13/35,14:00-15:30,Library Seminar Room,Every 20 min,Friday
Microbiology,Workshop,31/35,15:00-16:30,Engineering Room B2,Every 30 min,Tuesday
Biology 101,Workshop,15/35,09:00-10:30,Science Building Room 101,Every 15 min,Tuesday
Calculus I,Lab,24/35,16:00-17:30,Engineering Room B2,Every 20 min,Tuesday
Computer Science I,Seminar,16/35,14:00-15:30,Engineering Room B2,Every 15 min,Tuesday
Chemistry Lab,Workshop,29/35,14:00-15:30,Library Seminar Room,Every 15 min,Tuesday
Creative Writing,Seminar,34/35,16:00-17:30,Science Building Room 101,Every 20 min,Wednesday
Computer Science I,Seminar,14/35,16:00-17:30,Business School Room 12,Every 15 min,Monday
Modern Literature,Seminar,17/35,14:00-15:30,Library Seminar Room,Every 30 min,Thursday
World History,Lecture,33/35,09:00-10:30,Arts Center Room 5,Every 15 min,Tuesday
